13-Sep-22 13:21:25 INFO run_ipd ............. run IPD 1605557700 .............
13-Sep-22 13:21:25 INFO remove_old_ips_from_range   > remove IPs older than 120 seconds
13-Sep-22 14:42:32 INFO run_ipd       NO -> join siblings
13-Sep-22 14:42:32 INFO join_siblings         join siblings for range 4/14/195.204.0.0
13-Sep-22 14:42:32 INFO run_ipd    current_range: 4/15/195.202.0.0
13-Sep-22 14:42:32 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.202.0.0   s_ipcount=4779 min_samples=23170
13-Sep-22 14:42:32 INFO run_ipd       NO -> join siblings
13-Sep-22 14:42:32 INFO join_siblings         join siblings for range 4/15/195.202.0.0
13-Sep-22 14:43:58 INFO join_siblings  NO -> do nothing
13-Sep-22 14:43:58 INFO run_ipd    current_range: 4/15/195.200.0.0
13-Sep-22 14:43:58 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.200.0.0   s_ipcount=207629 min_samples=23170
13-Sep-22 14:44:41 INFO get_prevalent_ingress         no prevalent ingress found: {'S-EA11.365': 0.344, 'N-EB9.742': 0.289, 'N-EA9.721': 0.282, 'VIE-SB6.426': 0.028, 'F-ED11.14': 0.02, 'F-EH1.13': 0.009, 'F-ED11.730': 0.009, 'PAR-SB3.11': 0.008, 'F-ED12.9': 0.003, 'F-ED14.564': 0.002, 'VIE-SB5.1507': 0.001, 'F-ED13.608': 0.001, 'F-ED12.74': 0.001, 'F-ED12.359': 0.001, 'PAR-SB3.568': 0.0, 'PAR-SC2.425': 0.0, 'PAR-SB3.765': 0.0, 'PAR-SB3.766': 0.0, 'F-EH1.232': 0.0, 'LON-SA1.412': 0.0, 'PAR-SB3.641': 0.0, 'NYC-SB6.283': 0.0, 'LON-SA1.409': 0.0, 'LON-SB2.13': 0.0, 'HH-EA13.48': 0.0, 'AMS-SC1.20': 0.0}
13-Sep-22 14:44:41 INFO get_prevalent_ingress         prevalent for 4/15/195.200.0.0: None (-1.00)
13-Sep-22 14:44:41 INFO run_ipd         NO -> split subnet
13-Sep-22 14:44:41 INFO split_range           split 195.200.0.0/15 into 195.200.0.0/16 and 195.201.0.0/16
13-Sep-22 14:44:58 INFO run_ipd    current_range: 4/13/195.192.0.0
13-Sep-22 14:44:58 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/195.192.0.0   s_ipcount=3739 min_samples=46340
13-Sep-22 14:44:58 INFO run_ipd       NO -> join siblings
13-Sep-22 14:44:58 INFO join_siblings         join siblings for range 4/13/195.192.0.0
13-Sep-22 14:44:58 INFO run_ipd    current_range: 4/13/195.184.0.0
13-Sep-22 14:44:58 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/195.184.0.0   s_ipcount=23851 min_samples=46340
13-Sep-22 14:44:58 INFO run_ipd       NO -> join siblings
13-Sep-22 14:44:58 INFO join_siblings         join siblings for range 4/13/195.184.0.0
13-Sep-22 14:44:58 INFO run_ipd    current_range: 4/15/195.182.0.0
13-Sep-22 14:44:58 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.182.0.0   s_ipcount=1586 min_samples=23170
13-Sep-22 14:44:58 INFO run_ipd       NO -> join siblings
13-Sep-22 14:44:58 INFO join_siblings         join siblings for range 4/15/195.182.0.0
13-Sep-22 14:46:14 INFO join_siblings  NO -> do nothing
13-Sep-22 14:46:14 INFO run_ipd    current_range: 4/15/195.180.0.0
13-Sep-22 14:46:14 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.180.0.0   s_ipcount=639498 min_samples=23170
13-Sep-22 14:46:48 INFO get_prevalent_ingress         no prevalent ingress found: {'PAR-SB3.17': 0.154, 'F-ED11.256': 0.135, 'VIE-SB5.1605': 0.096, 'LON-SA1.411': 0.095, 'AMS-SB5.734': 0.086, 'F-ED13.735': 0.068, 'F-ED14.564': 0.052, 'AMS-SC1.20': 0.05, 'AMS-E7.12': 0.045, 'F-ED12.9': 0.039, 'F-ED13.608': 0.033, 'F-EH1.324': 0.033, 'PAR-SB3.11': 0.027, 'AMS-SC1.10': 0.018, 'VIE-SB5.1507': 0.016, 'F-ED14.496': 0.013, 'MIL-SA1.9': 0.007, 'F-ED12.74': 0.006, 'WAS-SA3.12': 0.006, 'F-ED12.359': 0.005, 'F-ED11.666': 0.004, 'NYC-SB5.10': 0.004, 'LON-SA1.410': 0.002, 'LON-SA1.52': 0.001, 'HH-EA13.48': 0.001, 'PAR-SC2.10': 0.001, 'VIE-SB5.12': 0.001, 'F-ED11.14': 0.0, 'F-EH1.401': 0.0, 'LON-SB2.13': 0.0, 'VIE-SB5.1516': 0.0, 'VIE-SB5.993': 0.0, 'ULM-EB5.54': 0.0, 'NYC-SB5.358': 0.0, 'F-EH1.13': 0.0, 'WAS-SA3.274': 0.0, 'D-ED5.14': 0.0, 'HH-EB5.270': 0.0, 'HH-EA13.217': 0.0, 'VIE-SB5.1530': 0.0, 'F-ED14.317': 0.0, 'F-ED12.250': 0.0, 'F-ED11.424': 0.0, 'F-EH1.335': 0.0, 'F-EH2.526': 0.0, 'F-ED12.267': 0.0, 'F-ED13.254': 0.0, 'AMS-SB5.22': 0.0, 'AMS-SB6.438': 0.0}
13-Sep-22 14:46:48 INFO get_prevalent_ingress         prevalent for 4/15/195.180.0.0: None (-1.00)
13-Sep-22 14:46:48 INFO run_ipd         NO -> split subnet
13-Sep-22 14:46:48 INFO split_range           split 195.180.0.0/15 into 195.180.0.0/16 and 195.181.0.0/16
13-Sep-22 14:47:02 INFO run_ipd    current_range: 4/14/195.176.0.0
13-Sep-22 14:47:02 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/195.176.0.0   s_ipcount=14008 min_samples=32768
13-Sep-22 14:47:02 INFO run_ipd       NO -> join siblings
13-Sep-22 14:47:02 INFO join_siblings         join siblings for range 4/14/195.176.0.0
13-Sep-22 14:47:02 INFO run_ipd    current_range: 4/12/195.160.0.0
13-Sep-22 14:47:02 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/12/195.160.0.0   s_ipcount=25360 min_samples=65536
13-Sep-22 14:47:02 INFO run_ipd       NO -> join siblings
13-Sep-22 14:47:02 INFO join_siblings         join siblings for range 4/12/195.160.0.0
13-Sep-22 14:47:03 INFO run_ipd    current_range: 4/13/195.152.0.0
13-Sep-22 14:47:03 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/195.152.0.0   s_ipcount=33130 min_samples=46340
13-Sep-22 14:47:03 INFO run_ipd       NO -> join siblings
13-Sep-22 14:47:03 INFO join_siblings         join siblings for range 4/13/195.152.0.0
13-Sep-22 14:47:03 INFO run_ipd    current_range: 4/14/195.148.0.0
13-Sep-22 14:47:03 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/195.148.0.0   s_ipcount=2418 min_samples=32768
13-Sep-22 14:47:03 INFO run_ipd       NO -> join siblings
13-Sep-22 14:47:03 INFO join_siblings         join siblings for range 4/14/195.148.0.0
13-Sep-22 14:47:03 INFO run_ipd    current_range: 4/15/195.146.0.0
13-Sep-22 14:47:03 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.146.0.0   s_ipcount=29526 min_samples=23170
13-Sep-22 14:47:45 INFO get_prevalent_ingress         prevalent for 4/15/195.146.0.0: VIE-SB5.13 (1.00)
13-Sep-22 14:47:45 INFO run_ipd         YES -> color 4/15/195.146.0.0 with VIE-SB5.13
13-Sep-22 14:49:11 INFO set_prevalent_ingress         set prevalent ingress: 4/15/195.146.0.0 => VIE-SB5.13: 4 range 0.996 29526/23170 195.146.0.0/15 VIE-SB5.13 | miss: 118 total: 29526
13-Sep-22 14:49:11 INFO run_ipd    current_range: 4/15/195.144.0.0
13-Sep-22 14:49:11 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.144.0.0   s_ipcount=112642 min_samples=23170
13-Sep-22 14:49:45 INFO get_prevalent_ingress         no prevalent ingress found: {'F-EB13.930': 0.933, 'GOE-SA2.844': 0.016, 'DA-SB2.819': 0.007, 'S-EB9.37': 0.007, 'M-EA12.108': 0.005, 'H-EA6.207': 0.005, 'K-EB7.1174': 0.004, 'BS-SB2.857': 0.004, 'NB-SA2.836': 0.003, 'BN-SA2.624': 0.002, 'F-EE7.760': 0.002, 'ZRH-SA1.477': 0.002, 'SI-SB2.781': 0.001, 'HH-EA9.1259': 0.001, 'H-EB7.1060': 0.001, 'VIE-SB5.12': 0.001, 'F-EB9.148': 0.001, 'F-EA6.201': 0.001, 'NYC-SB5.322': 0.001, 'D-ED5.52': 0.0, 'GOE-SB2.842': 0.0, 'NYC-SB6.9': 0.0, 'PAR-SB3.767': 0.0, 'F-ED14.398': 0.0, 'F-EH2.21': 0.0, 'HH-EA13.48': 0.0, 'VIE-SB5.983': 0.0, 'F-ED11.255': 0.0, 'MIL-SA1.264': 0.0, 'E-SB2.957': 0.0, 'F-ED14.370': 0.0, 'WUE-SA2.604': 0.0, 'MIL-SA1.9': 0.0, 'F-ED11.256': 0.0, 'LON-SA1.412': 0.0, 'PAR-SB3.641': 0.0, 'VIE-SB5.13': 0.0, 'ULM-EB5.54': 0.0, 'F-EH1.360': 0.0, 'B-EC7.688': 0.0, 'AMS-SC1.20': 0.0, 'GVA-SA1.150': 0.0, 'ZRH-SA1.314': 0.0, 'AMS-SB5.22': 0.0, 'N-EA9.586': 0.0, 'VIE-SB5.1530': 0.0, 'VIE-SB5.1522': 0.0, 'H-EF81.733': 0.0, 'N-EB7.1150': 0.0, 'D-ED5.14': 0.0}
13-Sep-22 14:49:45 INFO get_prevalent_ingress         prevalent for 4/15/195.144.0.0: None (-1.00)
13-Sep-22 14:49:45 INFO run_ipd         NO -> split subnet
13-Sep-22 14:49:45 INFO split_range           split 195.144.0.0/15 into 195.144.0.0/16 and 195.145.0.0/16
13-Sep-22 14:49:59 INFO run_ipd    current_range: 4/15/195.142.0.0
13-Sep-22 14:49:59 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.142.0.0   s_ipcount=115846 min_samples=23170
13-Sep-22 14:50:42 INFO get_prevalent_ingress         no prevalent ingress found: {'IST-SA1.213': 0.892, 'F-EH2.12': 0.02, 'F-ED12.9': 0.018, 'VIE-SB5.1507': 0.017, 'LON-SB2.13': 0.012, 'F-ED12.74': 0.01, 'F-ED12.359': 0.01, 'F-EH1.13': 0.004, 'F-ED14.564': 0.004, 'PAR-SB3.11': 0.003, 'VIE-SB5.30': 0.002, 'F-ED14.496': 0.002, 'AMS-SB5.22': 0.001, 'F-ED13.608': 0.001, 'D-ED5.14': 0.001, 'PAR-SB3.9': 0.0, 'VIE-SB5.1530': 0.0, 'F-EH1.335': 0.0, 'F-EH2.526': 0.0, 'B-EH2.10': 0.0, 'VIE-SB5.16': 0.0, 'AMS-SB5.10': 0.0, 'IST-SA1.214': 0.0, 'F-ED11.256': 0.0, 'ZRH-SA1.710': 0.0, 'PAR-SC2.425': 0.0, 'LON-SB2.12': 0.0, 'AMS-SC1.20': 0.0}
13-Sep-22 14:50:42 INFO get_prevalent_ingress         prevalent for 4/15/195.142.0.0: None (-1.00)
13-Sep-22 14:50:42 INFO run_ipd         NO -> split subnet
13-Sep-22 14:50:42 INFO split_range           split 195.142.0.0/15 into 195.142.0.0/16 and 195.143.0.0/16
13-Sep-22 14:50:59 INFO run_ipd    current_range: 4/15/195.140.0.0
13-Sep-22 14:50:59 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.140.0.0   s_ipcount=47166 min_samples=23170
13-Sep-22 14:51:33 INFO get_prevalent_ingress         no prevalent ingress found: {'DO-EB5.927': 0.832, 'DO-EC4.903': 0.127, 'PAR-SC2.425': 0.01, 'M-EF2.147': 0.01, 'LON-SB2.12': 0.006, 'AMS-SC1.20': 0.006, 'VIE-SB5.1522': 0.004, 'F-EH1.335': 0.002, 'WAW-SB4.196': 0.002, 'VIE-SB5.1530': 0.001, 'WAW-SB4.235': 0.001, 'B-EH2.10': 0.0, 'LON-SB2.10': 0.0, 'F-EH2.526': 0.0, 'LON-SB2.11': 0.0, 'ULM-EB5.54': 0.0, 'NYC-SB6.43': 0.0, 'HH-EA13.48': 0.0, 'F-EE7.759': 0.0, 'N-EA9.721': 0.0, 'N-EB9.742': 0.0, 'VIE-SB5.1507': 0.0, 'F-ED12.9': 0.0, 'LON-SB2.13': 0.0}
13-Sep-22 14:51:33 INFO get_prevalent_ingress         prevalent for 4/15/195.140.0.0: None (-1.00)
13-Sep-22 14:51:33 INFO run_ipd         NO -> split subnet
13-Sep-22 14:51:33 INFO split_range           split 195.140.0.0/15 into 195.140.0.0/16 and 195.141.0.0/16
13-Sep-22 14:51:47 INFO run_ipd    current_range: 4/14/195.136.0.0
13-Sep-22 14:51:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/195.136.0.0   s_ipcount=7623 min_samples=32768
13-Sep-22 14:51:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:51:47 INFO join_siblings         join siblings for range 4/14/195.136.0.0
13-Sep-22 14:51:47 INFO run_ipd    current_range: 4/13/195.128.0.0
13-Sep-22 14:51:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/195.128.0.0   s_ipcount=6493 min_samples=46340
13-Sep-22 14:51:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:51:47 INFO join_siblings         join siblings for range 4/13/195.128.0.0
13-Sep-22 14:51:47 INFO run_ipd    current_range: 4/11/195.96.0.0
13-Sep-22 14:51:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/11/195.96.0.0   s_ipcount=40732 min_samples=92681
13-Sep-22 14:51:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:51:47 INFO join_siblings         join siblings for range 4/11/195.96.0.0
13-Sep-22 14:51:47 INFO run_ipd    current_range: 4/14/195.92.0.0
13-Sep-22 14:51:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/195.92.0.0   s_ipcount=8849 min_samples=32768
13-Sep-22 14:51:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:51:47 INFO join_siblings         join siblings for range 4/14/195.92.0.0
13-Sep-22 14:51:47 INFO run_ipd    current_range: 4/15/195.90.0.0
13-Sep-22 14:51:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.90.0.0   s_ipcount=286247 min_samples=23170
13-Sep-22 14:52:30 INFO get_prevalent_ingress         no prevalent ingress found: {'VIE-SB5.13': 0.946, 'VIE-SB5.875': 0.052, 'F-EE5.945': 0.001, 'HH-EA13.48': 0.001, 'VIE-SB5.1518': 0.0, 'F-EE5.1569': 0.0, 'F-EH1.401': 0.0, 'VIE-SB5.1507': 0.0, 'F-ED12.9': 0.0, 'F-ED11.424': 0.0, 'VIE-SB5.1530': 0.0, 'LON-SB2.13': 0.0, 'F-ED11.256': 0.0}
13-Sep-22 14:52:30 INFO get_prevalent_ingress         prevalent for 4/15/195.90.0.0: None (-1.00)
13-Sep-22 14:52:30 INFO run_ipd         NO -> split subnet
13-Sep-22 14:52:30 INFO split_range           split 195.90.0.0/15 into 195.90.0.0/16 and 195.91.0.0/16
13-Sep-22 14:52:47 INFO run_ipd    current_range: 4/15/195.88.0.0
13-Sep-22 14:52:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.88.0.0   s_ipcount=4070 min_samples=23170
13-Sep-22 14:52:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:52:47 INFO join_siblings         join siblings for range 4/15/195.88.0.0
13-Sep-22 14:52:47 INFO run_ipd    current_range: 4/13/195.80.0.0
13-Sep-22 14:52:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/195.80.0.0   s_ipcount=11039 min_samples=46340
13-Sep-22 14:52:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:52:47 INFO join_siblings         join siblings for range 4/13/195.80.0.0
13-Sep-22 14:52:47 INFO run_ipd    current_range: 4/12/195.64.0.0
13-Sep-22 14:52:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/12/195.64.0.0   s_ipcount=19058 min_samples=65536
13-Sep-22 14:52:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:52:47 INFO join_siblings         join siblings for range 4/12/195.64.0.0
13-Sep-22 14:52:47 INFO run_ipd    current_range: 4/13/195.56.0.0
13-Sep-22 14:52:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/195.56.0.0   s_ipcount=16974 min_samples=46340
13-Sep-22 14:52:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:52:47 INFO join_siblings         join siblings for range 4/13/195.56.0.0
13-Sep-22 14:52:47 INFO run_ipd    current_range: 4/15/195.54.0.0
13-Sep-22 14:52:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.54.0.0   s_ipcount=40548 min_samples=23170
13-Sep-22 14:53:30 INFO get_prevalent_ingress         no prevalent ingress found: {'HH-EA13.48': 0.74, 'VIE-SB5.1507': 0.188, 'PAR-SC2.10': 0.027, 'LON-SB2.13': 0.021, 'VIE-SB5.1530': 0.009, 'GI-SA2.826': 0.002, 'AMS-SB5.22': 0.002, 'STO-SB3.237': 0.002, 'ULM-EB6.682': 0.001, 'HN-SB2.517': 0.001, 'VIE-SB5.1516': 0.001, 'PAR-SB3.641': 0.001, 'LON-SA1.172': 0.001, 'VIE-SA5.517': 0.001, 'D-EB6.2127': 0.0, 'AMS-SB5.12': 0.0, 'AMS-SB6.344': 0.0, 'HH-EB12.34': 0.0, 'D-ED5.11': 0.0, 'LON-SA1.52': 0.0, 'F-ED12.74': 0.0, 'F-ED12.359': 0.0, 'MIL-SA1.9': 0.0, 'F-ED14.398': 0.0, 'NE-EA6.117': 0.0, 'AC-SB2.312': 0.0, 'ULM-EB5.54': 0.0, 'M-EB10.1394': 0.0, 'LON-SB2.11': 0.0, 'LON-SB2.10': 0.0, 'B-EH2.10': 0.0, 'LON-SA1.579': 0.0, 'MAD-SA1.9': 0.0, 'PAR-SB3.767': 0.0, 'F-ED11.424': 0.0, 'K-EA7.923': 0.0, 'PAR-SB3.15': 0.0, 'F-ED13.608': 0.0, 'F-EH1.13': 0.0, 'F-ED13.906': 0.0, 'F-EH2.526': 0.0}
13-Sep-22 14:53:30 INFO get_prevalent_ingress         prevalent for 4/15/195.54.0.0: None (-1.00)
13-Sep-22 14:53:30 INFO run_ipd         NO -> split subnet
13-Sep-22 14:53:30 INFO split_range           split 195.54.0.0/15 into 195.54.0.0/16 and 195.55.0.0/16
13-Sep-22 14:53:47 INFO run_ipd    current_range: 4/15/195.52.0.0
13-Sep-22 14:53:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.52.0.0   s_ipcount=1030 min_samples=23170
13-Sep-22 14:53:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:53:47 INFO join_siblings         join siblings for range 4/15/195.52.0.0
13-Sep-22 14:53:47 INFO run_ipd    current_range: 4/14/195.48.0.0
13-Sep-22 14:53:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/195.48.0.0   s_ipcount=26998 min_samples=32768
13-Sep-22 14:53:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:53:47 INFO join_siblings         join siblings for range 4/14/195.48.0.0
13-Sep-22 14:53:47 INFO run_ipd    current_range: 4/12/195.32.0.0
13-Sep-22 14:53:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/12/195.32.0.0   s_ipcount=52285 min_samples=65536
13-Sep-22 14:53:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:53:47 INFO join_siblings         join siblings for range 4/12/195.32.0.0
13-Sep-22 14:53:47 INFO run_ipd    current_range: 4/15/195.30.0.0
13-Sep-22 14:53:47 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.30.0.0   s_ipcount=5390 min_samples=23170
13-Sep-22 14:53:47 INFO run_ipd       NO -> join siblings
13-Sep-22 14:53:47 INFO join_siblings         join siblings for range 4/15/195.30.0.0
13-Sep-22 14:55:04 INFO join_siblings  NO -> do nothing
13-Sep-22 14:55:04 INFO run_ipd    current_range: 4/15/195.28.0.0
13-Sep-22 14:55:04 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.28.0.0   s_ipcount=70358 min_samples=23170
13-Sep-22 14:55:38 INFO get_prevalent_ingress         no prevalent ingress found: {'VIE-SB5.1516': 0.489, 'VIE-SA5.363': 0.292, 'VIE-SA5.512': 0.149, 'F-ED12.246': 0.046, 'VIE-SB5.1518': 0.019, 'VIE-SB5.1530': 0.002, 'MIL-SA1.450': 0.002, 'VIE-SB5.1507': 0.0, 'LON-SB2.13': 0.0, 'F-ED12.9': 0.0, 'F-EH1.13': 0.0, 'VIE-SB5.12': 0.0, 'PAO-SB3.10': 0.0, 'LON-SA1.500': 0.0, 'LON-SA1.512': 0.0, 'VIE-SB5.932': 0.0, 'LON-SA1.409': 0.0, 'F-EE5.1569': 0.0, 'LON-SB2.10': 0.0, 'LON-SB2.11': 0.0, 'B-EH2.10': 0.0, 'F-ED11.525': 0.0, 'F-ED11.530': 0.0, 'HH-EA13.48': 0.0, 'AMS-SB5.12': 0.0, 'F-ED11.424': 0.0, 'MIL-SA1.9': 0.0, 'LON-SA1.412': 0.0, 'PAR-SC2.425': 0.0, 'AMS-SB5.22': 0.0, 'B-EH2.162': 0.0, 'AMS-SB5.10': 0.0}
13-Sep-22 14:55:38 INFO get_prevalent_ingress         prevalent for 4/15/195.28.0.0: None (-1.00)
13-Sep-22 14:55:38 INFO run_ipd         NO -> split subnet
13-Sep-22 14:55:38 INFO split_range           split 195.28.0.0/15 into 195.28.0.0/16 and 195.29.0.0/16
13-Sep-22 14:55:53 INFO run_ipd    current_range: 4/14/195.24.0.0
13-Sep-22 14:55:53 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/195.24.0.0   s_ipcount=4703 min_samples=32768
13-Sep-22 14:55:53 INFO run_ipd       NO -> join siblings
13-Sep-22 14:55:53 INFO join_siblings         join siblings for range 4/14/195.24.0.0
13-Sep-22 14:55:53 INFO run_ipd    current_range: 4/15/195.22.0.0
13-Sep-22 14:55:53 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.22.0.0   s_ipcount=12321 min_samples=23170
13-Sep-22 14:55:53 INFO run_ipd       NO -> join siblings
13-Sep-22 14:55:53 INFO join_siblings         join siblings for range 4/15/195.22.0.0
13-Sep-22 14:57:09 INFO join_siblings  NO -> do nothing
13-Sep-22 14:57:09 INFO run_ipd    current_range: 4/15/195.20.0.0
13-Sep-22 14:57:09 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.20.0.0   s_ipcount=44277 min_samples=23170
13-Sep-22 14:57:43 INFO get_prevalent_ingress         no prevalent ingress found: {'K-EA8.97': 0.189, 'F-EE1.355': 0.154, 'F-EE1.328': 0.146, 'F-EE1.327': 0.146, 'F-EE1.329': 0.139, 'VIE-SB5.1605': 0.067, 'VIE-SA5.10': 0.025, 'F-ED11.508': 0.019, 'F-ED11.507': 0.019, 'F-ED11.506': 0.019, 'ZRH-SA1.710': 0.017, 'F-ED11.509': 0.016, 'VIE-SB5.17': 0.015, 'VIE-SB5.1530': 0.013, 'VIE-SB5.1518': 0.004, 'F-EH1.13': 0.002, 'LON-SB2.13': 0.001, 'F-ED12.9': 0.001, 'VIE-SB5.1507': 0.001, 'HH-EA13.48': 0.001, 'F-ED13.608': 0.001, 'F-ED14.496': 0.001, 'WAW-SB4.196': 0.001, 'PAR-SB3.767': 0.001, 'F-EH1.335': 0.0, 'F-EH2.526': 0.0, 'PAR-SB3.641': 0.0, 'F-EH1.401': 0.0, 'VIE-SB5.1522': 0.0, 'D-ED5.14': 0.0, 'VIE-SA5.517': 0.0, 'F-ED14.398': 0.0, 'AMS-SB5.12': 0.0, 'LON-SB2.12': 0.0, 'D-ED6.261': 0.0, 'AMS-SC1.10': 0.0, 'PAR-SB3.17': 0.0, 'AMS-SC1.20': 0.0}
13-Sep-22 14:57:43 INFO get_prevalent_ingress         prevalent for 4/15/195.20.0.0: None (-1.00)
13-Sep-22 14:57:43 INFO run_ipd         NO -> split subnet
13-Sep-22 14:57:43 INFO split_range           split 195.20.0.0/15 into 195.20.0.0/16 and 195.21.0.0/16
13-Sep-22 14:57:57 INFO run_ipd    current_range: 4/14/195.16.0.0
13-Sep-22 14:57:57 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/195.16.0.0   s_ipcount=1246 min_samples=32768
13-Sep-22 14:57:57 INFO run_ipd       NO -> join siblings
13-Sep-22 14:57:57 INFO join_siblings         join siblings for range 4/14/195.16.0.0
13-Sep-22 14:57:57 INFO run_ipd    current_range: 4/13/195.8.0.0
13-Sep-22 14:57:57 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/195.8.0.0   s_ipcount=18436 min_samples=46340
13-Sep-22 14:57:57 INFO run_ipd       NO -> join siblings
13-Sep-22 14:57:57 INFO join_siblings         join siblings for range 4/13/195.8.0.0
13-Sep-22 14:57:57 INFO run_ipd    current_range: 4/15/195.6.0.0
13-Sep-22 14:57:57 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.6.0.0   s_ipcount=292 min_samples=23170
13-Sep-22 14:57:57 INFO run_ipd       NO -> join siblings
13-Sep-22 14:57:57 INFO join_siblings         join siblings for range 4/15/195.6.0.0
13-Sep-22 14:59:13 INFO join_siblings  NO -> do nothing
13-Sep-22 14:59:13 INFO run_ipd    current_range: 4/15/195.4.0.0
13-Sep-22 14:59:13 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/195.4.0.0   s_ipcount=74882 min_samples=23170
